package,file_path,line_number,type,severity,description
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/fetching/FetchingTest.java,111,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/fetching/FetchingTest.java,130,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/version/sybase/SybaseTimestampVersioningTest.java,74,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/exception/SQLExceptionConversionTest.java,118,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/batch/BatchAndResultStreamTest.java,42,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/idclass/IdClassQueryTest.java,40,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/idclass/IdClassWithLazyManyToOneTest.java,149,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/idclass/IdClassWithEagerManyToOneTest.java,139,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/idclass/IdClassTest.java,110,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
hibernate,hibernate-core/src/main/java/org/hibernate/mapping/Constraint.java,104,Use of Password Hash With Insufficient Computational Effort,Low,The MD5 hash (used in java.security.MessageDigest.getInstance) is insecure. Consider changing it to a secure hash algorithm
hibernate,hibernate-core/src/main/java/org/hibernate/boot/model/naming/NamingHelper.java,150,Use of Password Hash With Insufficient Computational Effort,Low,The MD5 hash (used in java.security.MessageDigest.getInstance) is insecure. Consider changing it to a secure hash algorithm
openjpa,openjpa-jdbc/pom.xml,62,SQL Injection,Critical,"Affected versions of this package are vulnerable to SQL Injection when using PreferQueryMode=SIMPLE, which is not the default setting"
openjpa,openjpa-jdbc/pom.xml,57,Remote Code Execution,High,ffected versions of this package are vulnerable to Remote Code Execution (RCE) when using java.sql.Statement or java.sql.PreparedStatement to process untrusted input.
openjpa,openjpa-jdbc/pom.xml,67,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,Command Injection,Critical,"Affected versions of this package are vulnerable to Command Injection. The Commandline class can emit double-quoted strings without proper escaping, allowing shell injection attacks."
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,Directory Traversal,Medium,"commons-io:commons-io is a The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more."
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,EPL-1.0 License,Medium,org.apache.openjpa:openjpa-maven-plugin@4.0.1-SNAPSHOT › org.apache.maven:maven-compat@3.8.1 › org.apache.maven:maven-model-builder@3.8.1 › org.eclipse.sisu:org.eclipse.sisu.inject@0.3.4
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,76,EPL-1.0 License,Medium,org.apache.openjpa:openjpa-maven-plugin@4.0.1-SNAPSHOT › org.apache.maven:maven-compat@3.8.1 › org.eclipse.sisu:org.eclipse.sisu.plexus@0.3.4
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,Information Disclosure,Low,Affected versions of this package are vulnerable to Information Disclosure. The file permissions on the file created by com.google.common.io.Files.createTempDir allow an attacker running a malicious program co-resident on the same machine to steal secrets stored in this directory
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,Creation of Temporary File in Directory with Insecure Permissions,Low,Affected versions of this package are vulnerable to Creation of Temporary File in Directory with Insecure Permissions due to the use of Java's default temporary directory for file creation in FileBackedOutputStream
openjpa,openjpa-examples/openbooks/web/query.jsp,91,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/query.jsp,123,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)."
openjpa,openjpa-examples/openbooks/web/query.jsp,124,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/query.jsp,126,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)."
openjpa,openjpa-examples/openbooks/web/query.jsp,126,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/query.jsp,127,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/search.jsp,86,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/search.jsp,88,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/search.jsp,90,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/search.jsp,92,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/AbstractCommand.java,334,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/AbstractCommand.java,335,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/AbstractCommand.java,339,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/AbstractCommand.java,344,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/AbstractCommand.java,352,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/orders.jsp,182,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/StoredProcedureQuery.java,173,SQL Injection,Medium,"Unsanitized input from a database flows into prepareCall, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
openjpa,openjpa-examples/openbooks/src/main/java/openbook/server/DataLoader.java,38,Path Traversal,Medium,"Unsanitized input from a command line argument flows into java.io.FileInputStream, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to read arbitrary files"
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/StoredProcedureQuery.java,189,Unsafe Reflection,Medium,"Unsanitized input from a database flows into java.lang.Class.forName, where it is used for Reflection. This may result in an Unsafe Reflection vulnerability."
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/StoredProcedureQuery.java,239,Unsafe Reflection,Medium,"Unsanitized input from a database flows into java.lang.Class.forName, where it is used for Reflection. This may result in an Unsafe Reflection vulnerability."
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClassNameDiscriminatorStrategy.java,108,Unsafe Reflection,Medium,"Unsanitized input from a database flows into java.lang.Class.forName, where it is used for Reflection. This may result in an Unsafe Reflection vulnerability."
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Services.java,219,Unsafe Reflection,Medium,"Unsanitized input from a database flows into java.lang.Class.forName, where it is used for Reflection. This may result in an Unsafe Reflection vulnerability."
openjpa,openjpa-lib/src/test/java/org/apache/openjpa/lib/conf/TestXMLCaseConversions.java,58,Path Traversal,Low,"Unsanitized input from a command line argument flows into java.io.FileReader, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to read arbitrary files."
openjpa,openjpa-integration/daytrader/src/test/java/org/apache/openjpa/integration/daytrader/AccountDataBean.java,286,Unprotected Storage of Credentials,Low,"An attacker might be able to detect the value of the password due to the exposure of comparison timing. When the functions Arrays.equals() or String.equals() are called, they will exit earlier if fewer bytes are matched. Use password encoder such as BCrypt for comparing passwords."
openjpa,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/jdbc/sql/TestSnakeCaseDDL.java,135,SQL Injection,Low,"Unsanitized input from a database flows into executeQuery, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
openjpa,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/criteria/TestByteArray.java,53,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.
openjpa,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/kernel/TestRawSQL.java,89,Unsafe Reflection,Low,"Unsanitized input from a database flows into java.lang.Class.forName, where it is used for Reflection. This may result in an Unsafe Reflection vulnerability."
openjpa,openjpa-examples/openbooks/pom.xml,74,Access Control Bypass,High,Affected versions of this package are vulnerable to Access Control Bypass. A vulnerability in the Connector/J component allows low privileged attackers with network access via multiple protocols to compromise MySQL Connectors
openjpa,openbooks/pom.xml,74,XML External Entity (XXE) Injection,Medium,"Affected versions of this package are vulnerable to XML External Entity (XXE) Injection via the getSource() method, due to a missing check for external entities."
openjpa,openbooks/pom.xml,74,Improper Authorization,Medium,Affected versions of this package are vulnerable to Improper Authorization via the MysqlSQLXML::getSource() function. A malicious actor with high privileges can access all of the MySQL connector's accessible data and crash the connectors.
openjpa,openbooks/pom.xml,74,Privilege Escalation,Medium,Affected versions of this package are vulnerable to Privilege Escalation. A user with high privileges who is logged onto the infrastructure where MySQL Connectors executes to compromise MySQL Connectors. Successful attacks require human interaction from a person other than the attacker.
openjpa,openbooks/pom.xml,52,LDAP Injection,High,Affected versions of this package are vulnerable to LDAP Injection due to improper LDAP authentication checks. An attacker can fill up the disk by creating junk databases and execute malware visible to and executable by the account which booted the server.
openjpa,openbooks/pom.xml,67,GPL-3.0 License,High,org.apache.openjpa.openjpa-examples:openbooks@4.0.1-SNAPSHOT › de.java2html:java2html@5.0
openjpa,openbooks/pom.xml,74,GPL-2.0 License,High,org.apache.openjpa.openjpa-examples:openbooks@4.0.1-SNAPSHOT › mysql:mysql-connector-java@5.1.49
openjpa,openbooks/pom.xml,30,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-kubernetes/pom.xml,46,Arbitrary Code Execution,Medium,"Affected versions of this package are vulnerable to Arbitrary Code Execution in the Constructor class, which does not restrict which types can be deserialized. This vulnerability is exploitable by an attacker who provides a malicious YAML file for deserialization, which circumvents the SafeConstructor class."
openjpa,openjpa-kubernetes/pom.xml,46,Denial of Service (DoS),Medium,"Affected versions of this package are vulnerable to Denial of Service (DoS) in the _deserializeWrappedValue() function in StdDeserializer.java, due to resource exhaustion when processing deeply nested arrays."
openjpa,openjpa-kubernetes/pom.xml,46,Denial of Service (DoS),Medium,Affected versions of this package are vulnerable to Denial of Service (DoS) due to improper exception handling by the GzipSource class when parsing a malformed gzip buffer.
openjpa,openjpa-kubernetes/pom.xml,46,Information Exposure,Medium,"Affected versions of this package are vulnerable to Information Exposure. When there's an illegal character in a header value, an IllegalArgumentException is thrown whose message includes the full header value."
openjpa,openjpa-project/pom.xml,393,LDAP Injection,Medium,Affected versions of this package are vulnerable to LDAP Injection due to improper LDAP authentication checks. An attacker can fill up the disk by creating junk databases and execute malware visible to and executable by the account which booted the server.
openjpa,openjpa-project/pom.xml,405,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-tools/openjpa-fetch-statistics/pom.xml,63,EPL-1.0 License,Medium,org.apache.openjpa:openjpa-fetch-statistics@4.0.1-SNAPSHOT › junit:junit@4.13.2
openjpa,openjpa-kernel/pom.xml,83,EPL-1.0 License,Medium,org.apache.openjpa:openjpa-fetch-statistics@4.0.1-SNAPSHOT › junit:junit@4.13.2
openjpa,openjpa-integration/tck/pom.xml,550,LDAP Injection,Medium,Affected versions of this package are vulnerable to LDAP Injection due to improper LDAP authentication checks. An attacker can fill up the disk by creating junk databases and execute malware visible to and executable by the account which booted the server.
openjpa,openjpa-tools/openjpa-fetch-statistics-was/pom.xml,23,EPL-1.0 License,Medium,org.apache.openjpa:openjpa-fetch-statistics@4.0.1-SNAPSHOT › junit:junit@4.13.2
openjpa,openjpa-integration/jmx/pom.xml,51,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-integration/validation/pom.xml,57,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-integration/examples/pom.xml,100,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-examples/image-gallerypom.xml,50,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-all/pom.xml,136,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-examples/simple/pom.xml,44,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-integration/slf4j/pom.xml,54,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-jdbc/pom.xml,62,SQL Injection,Critical,"Affected versions of this package are vulnerable to SQL Injection when using PreferQueryMode=SIMPLE, which is not the default setting"
openjpa,openjpa-jdbc/pom.xml,57,Remote Code Execution,High,ffected versions of this package are vulnerable to Remote Code Execution (RCE) when using java.sql.Statement or java.sql.PreparedStatement to process untrusted input.
openjpa,openjpa-jdbc/pom.xml,67,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,Command Injection,Critical,"Affected versions of this package are vulnerable to Command Injection. The Commandline class can emit double-quoted strings without proper escaping, allowing shell injection attacks."
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,Directory Traversal,Medium,"commons-io:commons-io is a The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more."
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,EPL-1.0 License,Medium,org.apache.openjpa:openjpa-maven-plugin@4.0.1-SNAPSHOT › org.apache.maven:maven-compat@3.8.1 › org.apache.maven:maven-model-builder@3.8.1 › org.eclipse.sisu:org.eclipse.sisu.inject@0.3.4
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,76,EPL-1.0 License,Medium,org.apache.openjpa:openjpa-maven-plugin@4.0.1-SNAPSHOT › org.apache.maven:maven-compat@3.8.1 › org.eclipse.sisu:org.eclipse.sisu.plexus@0.3.4
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,Information Disclosure,Low,Affected versions of this package are vulnerable to Information Disclosure. The file permissions on the file created by com.google.common.io.Files.createTempDir allow an attacker running a malicious program co-resident on the same machine to steal secrets stored in this directory
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,81,Creation of Temporary File in Directory with Insecure Permissions,Low,Affected versions of this package are vulnerable to Creation of Temporary File in Directory with Insecure Permissions due to the use of Java's default temporary directory for file creation in FileBackedOutputStream
openjpa,openjpa-examples/openbooks/web/query.jsp,91,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/query.jsp,123,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)."
openjpa,openjpa-examples/openbooks/web/query.jsp,124,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/query.jsp,126,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)."
openjpa,openjpa-examples/openbooks/web/query.jsp,126,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/query.jsp,127,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/search.jsp,86,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/search.jsp,88,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/search.jsp,90,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-examples/openbooks/web/search.jsp,92,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/AbstractCommand.java,334,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
